Year,State,Dengue_Cases,Average_Humidity,Average_Temperature,Average_UV_Index
1999,Penang,585,81.58,27.38,0.0
1999,Selangor,1956,83.5,27.19,0.0
1999,Johor,957,80.76,27.53,0.0
1999,Sarawak,675,84.79,26.36,0.0
1999,Sabah,344,81.1,27.54,0.0
2000,Kedah,471,80.36,27.78,0.0
2000,Penang,160,81.45,27.44,0.0
2000,Perak,387,81.38,27.75,0.0
2000,Selangor,1439,79.22,27.72,0.0
2000,Melaka,104,89.29,26.07,0.0
2000,Johor,1434,86.39,26.44,0.0
2000,Pahang,390,83.15,27.81,0.0
2000,Terengganu,125,80.33,28.11,0.0
2000,Kelantan,368,78.22,28.39,0.0
2000,Sarawak,784,85.14,26.3,0.0
2000,Sabah,153,81.55,27.5,0.0
2000,Labuan,0,66.0,31.0,
2001,Kedah,590,82.0,27.83,0.0
2001,Penang,2288,80.29,27.76,0.0
2001,Perak,1391,82.96,27.67,0.0
2001,Selangor,3828,78.8,27.95,0.0
2001,Melaka,129,86.17,26.8,0.0
2001,Johor,2346,86.21,26.47,0.0
2001,Pahang,597,87.37,26.12,0.0
2001,Terengganu,271,85.14,26.88,0.0
2001,Kelantan,1007,81.4,27.72,0.0
2001,Sarawak,461,85.16,26.38,0.0
2001,Sabah,242,83.82,27.24,0.0
2001,Labuan,0,87.38,27.04,0.0
2002,Kedah,751,100.0,24.0,0.0
2002,Penang,941,75.11,28.4,0.0
2002,Perak,3278,91.5,24.5,0.0
2002,Selangor,9385,77.71,28.21,0.0
2002,Melaka,355,89.0,25.0,0.0
2002,Johor,3952,84.8,26.18,0.0
2002,Pahang,1299,81.0,28.17,0.0
2002,Terengganu,1176,97.0,23.5,0.0
2002,Sarawak,994,84.38,26.67,0.0
2002,Sabah,382,80.59,27.48,0.0
2002,Labuan,0,78.08,28.02,0.0
2003,Kedah,1278,76.71,28.63,0.0
2003,Penang,746,77.53,28.12,0.0
2003,Perak,4418,82.01,27.66,0.0
2003,Selangor,6769,79.79,27.96,0.0
2003,Melaka,632,81.05,27.82,0.0
2003,Johor,3249,85.3,26.46,0.0
2003,Pahang,1487,81.83,27.45,0.0
2003,Terengganu,833,80.52,27.43,0.0
2003,Kelantan,2676,79.78,28.0,0.0
2003,Sarawak,856,85.1,26.71,0.0
2003,Sabah,792,82.03,27.38,0.0
2003,Labuan,0,78.91,27.98,0.0
2004,Kedah,1742,80.5,28.01,0.0
2004,Penang,1767,78.52,28.02,0.0
2004,Perak,3108,82.49,27.47,0.0
2004,Selangor,9189,79.76,27.72,0.0
2004,Melaka,865,81.44,27.58,0.0
2004,Johor,3056,85.48,26.51,0.0
2004,Pahang,1597,85.06,26.6,0.0
2004,Terengganu,1103,81.44,27.2,0.0
2004,Kelantan,1682,81.06,27.71,0.0
2004,Sarawak,568,84.87,26.66,0.0
2004,Sabah,930,81.32,27.36,0.0
2004,Labuan,18,79.32,27.87,0.0
2005,Perlis,324,,,
2005,Kedah,1862,77.82,28.15,0.0
2005,Penang,3527,79.35,28.01,0.0
2005,Perak,3082,81.2,27.69,0.0
2005,Selangor,12705,79.04,27.86,0.0
2005,Negeri Sembilan,1379,,,
2005,Melaka,909,78.65,27.83,0.0
2005,Johor,2974,84.04,26.81,0.0
2005,Pahang,1823,84.66,26.88,0.0
2005,Terengganu,747,83.41,27.12,0.0
2005,Kelantan,1326,80.5,27.28,0.0
2005,Sarawak,1411,84.89,26.75,0.0
2005,Sabah,1901,82.13,27.35,0.0
2005,Labuan,36,80.35,28.01,0.0
2006,Perlis,193,,,
2006,Kedah,1907,77.88,27.93,0.0
2006,Penang,2653,81.47,27.78,0.0
2006,Perak,2007,83.25,27.19,0.0
2006,Selangor,12264,79.79,27.26,0.0
2006,Negeri Sembilan,1201,,,
2006,Melaka,957,81.07,27.46,0.0
2006,Johor,2726,84.94,26.6,0.0
2006,Pahang,1358,85.86,26.94,0.0
2006,Terengganu,726,84.46,27.2,0.0
2006,Kelantan,2014,81.22,27.19,0.0
2006,Sarawak,1821,84.54,26.79,0.0
2006,Sabah,911,84.12,27.26,0.0
2006,Labuan,14,81.34,28.05,0.0
2007,Perlis,311,,,
2007,Kedah,2584,79.62,27.75,0.0
2007,Penang,3106,81.88,27.58,0.0
2007,Perak,2889,83.31,27.06,0.0
2007,Selangor,15891,78.99,27.4,0.0
2007,Negeri Sembilan,1275,,,
2007,Melaka,732,80.8,27.39,0.0
2007,Johor,3363,86.75,26.46,0.0
2007,Pahang,2657,86.92,26.92,0.0
2007,Terengganu,1269,83.41,27.26,0.0
2007,Kelantan,3503,80.9,27.23,0.0
2007,Sarawak,1845,84.54,26.65,0.0
2007,Sabah,1953,84.56,27.26,0.0
2007,Labuan,29,81.44,27.95,0.0
2008,Perlis,184,,,
2008,Kedah,1678,81.35,27.65,0.0
2008,Penang,2324,81.65,27.46,0.0
2008,Perak,4219,83.57,26.81,0.0
2008,Selangor,21262,78.51,27.18,0.0
2008,Negeri Sembilan,1405,,,
2008,Melaka,830,80.3,27.38,0.0
2008,Johor,3908,87.77,26.12,0.0
2008,Pahang,1327,86.61,26.86,0.0
2008,Terengganu,1721,82.1,25.96,0.0
2008,Kelantan,2399,80.98,27.08,0.0
2008,Sarawak,1517,84.97,26.4,0.0
2008,Sabah,1045,84.13,27.05,0.0
2008,Labuan,70,83.8,27.41,0.0
2009,Perlis,191,,,
2009,Kedah,750,81.64,27.94,0.0
2009,Penang,2444,81.31,27.66,0.0
2009,Perak,2734,84.35,27.3,0.0
2009,Selangor,18676,77.39,27.74,0.0
2009,Negeri Sembilan,1057,,,
2009,Melaka,769,80.51,27.61,0.0
2009,Johor,2528,86.46,26.38,0.0
2009,Pahang,907,85.6,26.95,0.0
2009,Terengganu,968,83.75,27.06,0.0
2009,Kelantan,1031,82.16,27.11,0.0
2009,Sarawak,4490,84.35,26.76,0.0
2009,Sabah,1170,82.25,27.46,0.0
2009,Labuan,25,85.23,27.83,0.0
2010,Perlis,215,,,
2010,Kedah,782,80.93,28.33,0.0
2010,Penang,1834,81.66,28.26,0.0
2010,Perak,2288,83.43,27.6,0.0
2010,Selangor,16367,81.12,28.58,0.0
2010,Negeri Sembilan,1501,,,
2010,Melaka,1485,81.14,27.74,0.0
2010,Johor,4406,84.67,26.82,0.0
2010,Pahang,1688,85.74,27.38,0.0
2010,Terengganu,1472,82.1,27.71,0.0
2010,Kelantan,3578,81.44,27.49,0.0
2010,Sarawak,4240,85.41,26.79,0.0
2010,Sabah,2091,82.81,27.6,0.0
2010,Labuan,19,85.12,27.79,0.0
2011,Perlis,110,,,
2011,Kedah,514,82.18,27.83,0.0
2011,Penang,1579,82.39,27.75,0.0
2011,Perak,1411,83.78,27.12,0.0
2011,Selangor,7758,82.14,28.38,0.0
2011,Negeri Sembilan,737,,,
2011,Melaka,450,83.3,27.3,0.0
2011,Johor,1583,86.43,26.53,0.0
2011,Pahang,894,86.73,26.74,0.0
2011,Terengganu,675,85.47,27.36,0.0
2011,Kelantan,743,82.01,27.06,0.0
2011,Sarawak,974,86.05,26.65,0.0
2011,Sabah,402,83.78,27.22,0.0
2011,Labuan,16,84.25,27.52,0.0
2012,Perlis,172,,,
2012,Kedah,817,83.66,27.74,0.0
2012,Penang,791,81.71,27.75,0.0
2012,Perak,1716,83.05,27.31,0.0
2012,Selangor,9113,82.55,28.19,0.0
2012,Negeri Sembilan,552,,,
2012,Melaka,449,84.36,27.32,0.0
2012,Johor,1650,87.57,26.55,0.0
2012,Pahang,641,88.5,26.59,0.0
2012,Terengganu,739,86.47,27.18,0.0
2012,Kelantan,1245,83.77,27.01,0.0
2012,Sarawak,1519,85.7,26.77,0.0
2012,Sabah,672,83.78,27.27,0.0
2012,Labuan,10,85.07,27.89,0.0
2013,Perlis,226,,,
2013,Kedah,813,82.35,28.05,0.0
2013,Penang,1053,81.4,28.08,0.0
2013,Perak,2519,82.15,27.5,0.0
2013,Selangor,23852,78.99,28.34,0.0
2013,Negeri Sembilan,1198,,,
2013,Melaka,1505,82.57,27.69,0.0
2013,Johor,4828,86.65,27.02,0.0
2013,Pahang,725,85.22,27.13,0.0
2013,Terengganu,600,83.92,27.69,0.0
2013,Kelantan,1427,83.47,27.29,0.0
2013,Sarawak,1292,85.44,26.99,0.0
2013,Sabah,724,83.58,27.4,0.0
2013,Labuan,14,84.61,27.75,0.0
2014,Perlis,317,,,
2014,Kedah,1014,81.21,28.07,1.81
2014,Penang,3141,81.17,28.16,1.83
2014,Perak,7525,81.45,27.55,1.88
2014,Selangor,54290,77.08,28.18,1.83
2014,Negeri Sembilan,3781,,,
2014,Melaka,2770,81.65,27.73,1.86
2014,Johor,6323,84.84,27.15,1.86
2014,Pahang,2170,83.37,27.19,1.85
2014,Terengganu,1688,80.64,27.96,2.44
2014,Kelantan,14456,82.93,27.25,1.79
2014,Sarawak,2571,84.48,26.87,1.84
2014,Sabah,1456,83.06,27.41,1.82
2014,Labuan,11,82.5,27.78,1.82
2015,Perlis,258,,,
2015,Kedah,1000,80.53,28.18,2.05
2015,Penang,5830,80.8,27.82,2.05
2015,Perak,9466,83.14,27.63,2.11
2015,Selangor,63198,58.43,28.44,2.05
2015,Negeri Sembilan,2454,,,
2015,Melaka,2420,82.76,27.92,2.1
2015,Johor,15743,85.04,27.36,2.12
2015,Pahang,3001,84.76,27.38,2.09
2015,Terengganu,1455,81.26,28.11,2.65
